ADBE,Date,Close
ADBE,9/22/2016 16:00:00,107.92
ADBE,9/23/2016 16:00:00,107.47
ADBE,9/26/2016 16:00:00,107.26
ADBE,9/27/2016 16:00:00,109.7
ADBE,9/28/2016 16:00:00,109.49
ADBE,9/29/2016 16:00:00,107.8
ADBE,9/30/2016 16:00:00,108.54
ADBE,10/3/2016 16:00:00,108.45
ADBE,10/4/2016 16:00:00,108.39
ADBE,10/5/2016 16:00:00,108.8
ADBE,10/6/2016 16:00:00,108.56
ADBE,10/7/2016 16:00:00,108.64
ADBE,10/10/2016 16:00:00,109.24
ADBE,10/11/2016 16:00:00,107.37
ADBE,10/12/2016 16:00:00,108.05
ADBE,10/13/2016 16:00:00,108.01
ADBE,10/14/2016 16:00:00,107.84
ADBE,10/17/2016 16:00:00,107.49
ADBE,10/18/2016 16:00:00,108.42
ADBE,10/19/2016 16:00:00,108.39
ADBE,10/20/2016 16:00:00,109.03
ADBE,10/21/2016 16:00:00,109.03
ADBE,10/24/2016 16:00:00,110.81
ADBE,10/25/2016 16:00:00,109.03
ADBE,10/26/2016 16:00:00,107.97
ADBE,10/27/2016 16:00:00,107.07
ADBE,10/28/2016 16:00:00,107.6
ADBE,10/31/2016 16:00:00,107.51
ADBE,11/1/2016 16:00:00,106.87
ADBE,11/2/2016 16:00:00,105.89
ADBE,11/3/2016 16:00:00,107.17
ADBE,11/4/2016 16:00:00,106.2
ADBE,11/7/2016 16:00:00,108.66
ADBE,11/8/2016 16:00:00,108.39
ADBE,11/9/2016 16:00:00,107.86
ADBE,11/10/2016 16:00:00,104.08
ADBE,11/11/2016 16:00:00,103.68
ADBE,11/14/2016 16:00:00,102.42
ADBE,11/15/2016 16:00:00,103.66
ADBE,11/16/2016 16:00:00,104.08
ADBE,11/17/2016 16:00:00,105.81
ADBE,11/18/2016 16:00:00,105.02
ADBE,11/21/2016 16:00:00,105.65
ADBE,11/22/2016 16:00:00,105.21
ADBE,11/23/2016 16:00:00,104.21
ADBE,11/25/2016 16:00:00,105.02
ADBE,11/28/2016 16:00:00,104.5
ADBE,11/29/2016 16:00:00,104.95
ADBE,11/30/2016 16:00:00,102.81
ADBE,12/1/2016 16:00:00,99.51
ADBE,12/2/2016 16:00:00,99.73
ADBE,12/5/2016 16:00:00,101.95
ADBE,12/6/2016 16:00:00,101.55
ADBE,12/7/2016 16:00:00,103.36
ADBE,12/8/2016 16:00:00,103.5
ADBE,12/9/2016 16:00:00,104.31
ADBE,12/12/2016 16:00:00,105.16
ADBE,12/13/2016 16:00:00,106.15
ADBE,12/14/2016 16:00:00,105.81
ADBE,12/15/2016 16:00:00,105.1
ADBE,12/16/2016 16:00:00,103.55
ADBE,12/19/2016 16:00:00,105.29
ADBE,12/20/2016 16:00:00,105.77
ADBE,12/21/2016 16:00:00,105.51
ADBE,12/22/2016 16:00:00,104.72
ADBE,12/23/2016 16:00:00,105.02
ADBE,12/27/2016 16:00:00,104.98
ADBE,12/28/2016 16:00:00,103.77
ADBE,12/29/2016 16:00:00,103.68
,12/30/2016 16:00:00,102.95
,1/3/2017 16:00:00,103.48
,1/4/2017 16:00:00,104.14
,1/5/2017 16:00:00,105.91
,1/6/2017 16:00:00,108.3
,1/9/2017 16:00:00,108.57
,1/10/2017 16:00:00,108.26
,1/11/2017 16:00:00,108.99
,1/12/2017 16:00:00,108.59
,1/13/2017 16:00:00,108.53
,1/17/2017 16:00:00,108
,1/18/2017 16:00:00,108.79
,1/19/2017 16:00:00,109.79
,1/20/2017 16:00:00,110.71
,1/23/2017 16:00:00,110.97
,1/24/2017 16:00:00,113.72
,1/25/2017 16:00:00,114.25
,1/26/2017 16:00:00,112.88
