META,Date,Close
META,7/29/2016 16:00:00,123.94
META,8/1/2016 16:00:00,124.31
META,8/2/2016 16:00:00,123.09
META,8/3/2016 16:00:00,122.51
META,8/4/2016 16:00:00,124.36
META,8/5/2016 16:00:00,125.15
META,8/8/2016 16:00:00,125.26
META,8/9/2016 16:00:00,125.06
META,8/10/2016 16:00:00,124.88
META,8/11/2016 16:00:00,124.9
META,8/12/2016 16:00:00,124.88
META,8/15/2016 16:00:00,123.9
META,8/16/2016 16:00:00,123.3
META,8/17/2016 16:00:00,124.37
META,8/18/2016 16:00:00,123.91
META,8/19/2016 16:00:00,123.56
META,8/22/2016 16:00:00,124.15
META,8/23/2016 16:00:00,124.37
META,8/24/2016 16:00:00,123.48
META,8/25/2016 16:00:00,123.89
META,8/26/2016 16:00:00,124.96
META,8/29/2016 16:00:00,126.54
META,8/30/2016 16:00:00,125.84
META,8/31/2016 16:00:00,126.12
META,9/1/2016 16:00:00,126.17
META,9/2/2016 16:00:00,126.51
META,9/6/2016 16:00:00,129.73
META,9/7/2016 16:00:00,131.05
META,9/8/2016 16:00:00,130.27
META,9/9/2016 16:00:00,127.1
META,9/12/2016 16:00:00,128.69
META,9/13/2016 16:00:00,127.21
META,9/14/2016 16:00:00,127.77
META,9/15/2016 16:00:00,128.35
META,9/16/2016 16:00:00,129.07
META,9/19/2016 16:00:00,128.65
META,9/20/2016 16:00:00,128.64
META,9/21/2016 16:00:00,129.94
META,9/22/2016 16:00:00,130.08
META,9/23/2016 16:00:00,127.96
META,9/26/2016 16:00:00,127.31
META,9/27/2016 16:00:00,128.69
META,9/28/2016 16:00:00,129.23
META,9/29/2016 16:00:00,128.09
META,9/30/2016 16:00:00,128.27
META,10/3/2016 16:00:00,128.77
META,10/4/2016 16:00:00,128.19
META,10/5/2016 16:00:00,128.47
META,10/6/2016 16:00:00,128.74
META,10/7/2016 16:00:00,128.99
META,10/10/2016 16:00:00,130.24
META,10/11/2016 16:00:00,128.88
META,10/12/2016 16:00:00,129.05
META,10/13/2016 16:00:00,127.82
META,10/14/2016 16:00:00,127.88
META,10/17/2016 16:00:00,127.54
META,10/18/2016 16:00:00,128.57
META,10/19/2016 16:00:00,130.11
META,10/20/2016 16:00:00,130
META,10/21/2016 16:00:00,132.07
META,10/24/2016 16:00:00,133.28
META,10/25/2016 16:00:00,132.29
META,10/26/2016 16:00:00,131.04
META,10/27/2016 16:00:00,129.69
META,10/28/2016 16:00:00,131.29
META,10/31/2016 16:00:00,130.99
META,11/1/2016 16:00:00,129.5
META,11/2/2016 16:00:00,127.17
META,11/3/2016 16:00:00,120
META,11/4/2016 16:00:00,120.75
META,11/7/2016 16:00:00,122.15
META,11/8/2016 16:00:00,124.22
META,11/9/2016 16:00:00,123.18
META,11/10/2016 16:00:00,120.8
META,11/11/2016 16:00:00,119.02
META,11/14/2016 16:00:00,115.08
META,11/15/2016 16:00:00,117.2
META,11/16/2016 16:00:00,116.34
META,11/17/2016 16:00:00,117.79
META,11/18/2016 16:00:00,117.02
META,11/21/2016 16:00:00,121.77
META,11/22/2016 16:00:00,121.47
META,11/23/2016 16:00:00,120.84
